t kinetic_energy max_velocity
0.0001 0.249922 0.987575
0.0002 0.249844 0.987463
0.0003 0.249766 0.98735
0.0004 0.249688 0.987237
0.0005 0.24961 0.987124
0.0006 0.249532 0.987011
0.0007 0.249454 0.986899
0.0008 0.249376 0.986786
0.0009 0.249298 0.986673
0.001 0.24922 0.986561
0.0011 0.249143 0.986448
0.0012 0.249065 0.986335
0.0013 0.248987 0.986223
0.0014 0.24891 0.98611
0.0015 0.248832 0.985998
0.0016 0.248755 0.985885
0.0017 0.248677 0.985773
0.0018 0.2486 0.98566
0.0019 0.248522 0.985548
0.002 0.248445 0.985435
0.0021 0.248368 0.985323
0.0022 0.248291 0.98521
0.0023 0.248213 0.985098
0.0024 0.248136 0.984985
0.0025 0.248059 0.984873
0.0026 0.247982 0.984761
0.0027 0.247905 0.984648
0.0028 0.247828 0.984536
0.0029 0.247751 0.984424
0.003 0.247674 0.984312
0.0031 0.247597 0.984199
0.0032 0.24752 0.984087
0.0033 0.247444 0.983975
0.0034 0.247367 0.983863
0.0035 0.24729 0.983751
0.0036 0.247214 0.983639
0.0037 0.247137 0.983527
0.0038 0.24706 0.983414
0.0039 0.246984 0.983302
0.004 0.246907 0.98319
0.0041 0.246831 0.983078
0.0042 0.246755 0.982966
0.0043 0.246678 0.982854
0.0044 0.246602 0.982742
0.0045 0.246526 0.982631
0.0046 0.246449 0.982519
0.0047 0.246373 0.982407
0.0048 0.246297 0.982295
0.0049 0.246221 0.982183
0.005 0.246145 0.982071
0.0051 0.246069 0.981959
0.0052 0.245993 0.981848
0.0053 0.245917 0.981736
0.0054 0.245841 0.981624
0.0055 0.245765 0.981512
0.0056 0.245689 0.981401
0.0057 0.245614 0.981289
0.0058 0.245538 0.981177
0.0059 0.245462 0.981066
0.006 0.245387 0.980954
0.0061 0.245311 0.980843
0.0062 0.245235 0.980731
0.0063 0.24516 0.98062
0.0064 0.245084 0.980508
0.0065 0.245009 0.980396
0.0066 0.244934 0.980285
0.0067 0.244858 0.980174
0.0068 0.244783 0.980062
0.0069 0.244708 0.979951
0.007 0.244632 0.979839
0.0071 0.244557 0.979728
0.0072 0.244482 0.979617
0.0073 0.244407 0.979505
0.0074 0.244332 0.979394
0.0075 0.244257 0.979283
0.0076 0.244182 0.979171
0.0077 0.244107 0.97906
0.0078 0.244032 0.978949
0.0079 0.243957 0.978838
0.008 0.243882 0.978726
0.0081 0.243807 0.978615
0.0082 0.243733 0.978504
