t kinetic_energy max_velocity div_max
0.001 1.00895 1.04989 0
0.002 1.00862 1.39828 0
0.003 1.01637 1.59066 0
0.004 1.01277 1.67519 0
0.005 1.00944 1.71342 0
0.006 1.03286 1.73289 0
0.007 1.01482 1.71978 0
0.008 1.01279 1.70009 0
0.009 1.01596 1.67805 0
0.01 1.01476 1.65263 0
0.011 1.01592 1.64654 0
0.012 1.01114 1.63893 0
0.013 1.01618 1.63466 0
0.014 1.01179 1.62531 0
0.015 1.01308 1.61812 0
0.016 1.01676 1.61203 0
0.017 1.02353 1.60753 0
0.018 1.01609 1.59715 0
0.019 1.01489 1.58696 0
0.02 1.00718 1.5739 0
0.021 1.01086 1.56558 0
0.022 1.00355 1.55283 0
0.023 1.01724 1.55373 0
0.024 1.00744 1.5494 0
0.025 1.01459 1.55191 0
0.026 1.01201 1.54992 0
0.027 1.0074 1.54661 0
0.028 1.00209 1.54234 0
0.029 0.997252 1.53729 0
0.03 1.01412 1.54294 0
0.031 1.00233 1.53677 0
0.032 1.01737 1.54181 0
0.033 0.999451 1.53175 0
0.034 0.994334 1.52588 0
0.035 1.01082 1.53046 0
0.036 1.00667 1.52642 0
0.037 1.00356 1.52318 0
0.038 0.994642 1.5155 0
0.039 1.01605 1.52266 0
0.04 1.00465 1.516 0
0.041 1.00347 1.51197 0
0.042 1.00693 1.51104 0
0.043 0.999302 1.50429 0
0.044 1.00994 1.50547 0
0.045 1.00105 1.4989 0
0.046 1.01287 1.50131 0
0.047 1.01032 1.49826 0
0.048 0.998716 1.48972 0
0.049 0.992312 1.48245 0
0.05 1.00408 1.48371 0
0.051 1.00542 1.48214 0
0.052 1.01299 1.48343 0
0.053 1.00654 1.4784 0
0.054 1.01069 1.47718 0
0.055 0.999723 1.46891 0
0.056 1.00981 1.46993 0
0.057 0.997495 1.46254 0
0.058 1.00561 1.46453 0
0.059 1.00481 1.46348 0
0.06 0.998804 1.45936 0
0.061 0.991635 1.45366 0
0.062 0.999335 1.45552 0
0.063 0.998842 1.4543 0
0.064 0.993791 1.45048 0
0.065 0.998709 1.45178 0
0.066 0.99746 1.45032 0
0.067 1.00056 1.45075 0
0.068 1.0007 1.4502 0
0.069 1.00697 1.45203 0
0.07 1.00426 1.45046 0
0.071 1.00271 1.44868 0
0.072 0.998761 1.44557 0
0.073 1.01514 1.45231 0
0.074 0.993834 1.442 0
0.075 0.995261 1.44001 0
0.076 0.997952 1.43943 0
0.077 0.999624 1.43873 0
0.078 1.0061 1.44164 0
0.079 1.00443 1.43983 0
0.08 1.00874 1.44065 0
0.081 0.995692 1.43386 0
0.082 1.00395 1.43575 0
0.083 0.999178 1.43254 0
0.084 1.0061 1.4342 0
0.085 0.996094 1.42825 0
0.086 0.991966 1.42428 0
0.087 0.991831 1.42206 0
0.088 1.001 1.42551 0
0.089 0.996964 1.42258 0
0.09 0.993161 1.41967 0
0.091 1.00183 1.4223 0
0.092 0.998775 1.42027 0
0.093 1.00137 1.42056 0
0.094 1.00083 1.41864 0
0.095 0.993003 1.41389 0
0.096 0.988312 1.40895 0
0.097 0.996836 1.41126 0
0.098 0.999943 1.41214 0
0.099 1.00031 1.41128 0
0.1 0.996701 1.40876 0
0.101 0.992297 1.40481 0
0.102 0.99839 1.40666 0
0.103 0.992881 1.40272 0
0.104 0.999551 1.40457 0
0.105 1.00169 1.40506 0
0.106 1.00492 1.40599 0
0.107 1.00051 1.40254 0
0.108 1.00226 1.40217 0
0.109 0.994244 1.39648 0
0.11 1.00622 1.40112 0
0.111 0.998127 1.39654 0
0.112 1.00569 1.39854 0
0.113 0.998514 1.39466 0
0.114 1.00021 1.39452 0
0.115 0.998603 1.3927 0
0.116 0.996716 1.39046 0
0.117 0.993893 1.38866 0
0.118 0.991708 1.38638 0
0.119 0.994637 1.38744 0
0.12 0.992383 1.3855 0
0.121 0.991969 1.38454 0
0.122 0.995676 1.38532 0
0.123 0.990903 1.38272 0
0.124 0.990454 1.38143 0
0.125 0.994683 1.3828 0
0.126 0.997762 1.38453 0
0.127 1 1.38479 0
0.128 1.00682 1.38823 0
0.129 0.997025 1.38376 0
0.13 1.00037 1.38431 0
0.131 0.995017 1.38099 0
0.132 0.985679 1.37555 0
0.133 1.00834 1.38593 0
0.134 0.993483 1.37902 0
0.135 0.991063 1.37691 0
0.136 1.0144 1.38794 0
0.137 0.996724 1.38032 0
